order_name,order_country,order_city,order_card,order_month,order_year
John Mensah,Ghana,Accra,4111111111111111,03,2027
Ama Owusu,Ghana,Kumasi,5500005555555559,06,2026
Kwame Asante,Nigeria,Lagos,4012888888881881,09,2028
Abena Boateng,Kenya,Nairobi,4111111111111111,12,2027
Kofi Amoah,South Africa,Cape Town,5500005555555559,01,2026
Efua Danquah,Ghana,Takoradi,4012888888881881,04,2028
Yaw Appiah,Ghana,Kumasi,4111111111111111,07,2027
Akosua Frimpong,Cameroon,Douala,5500005555555559,10,2026
Nana Asare,Ghana,Cape Coast,4012888888881881,02,2028
Adjoa Mensah,Ghana,Accra,4111111111111111,05,2027
Samuel Ofori,Ghana,Kumasi,5500005555555559,08,2026
Grace Tetteh,Ghana,Accra,4012888888881881,11,2028
Emmanuel Darko,Ghana,Tema,4111111111111111,03,2027
Patience Adjei,Ghana,Sunyani,5500005555555559,06,2026
Michael Asiedu,Ghana,Ho,4012888888881881,09,2028
Comfort Adusei,Ghana,Koforidua,4111111111111111,12,2027
Richard Kumi,Ghana,Tamale,5500005555555559,01,2026
Josephine Sarkodie,Ghana,Accra,4012888888881881,04,2028
Prince Acheampong,Ghana,Kumasi,4111111111111111,07,2027
Victoria Asante,Ghana,Obuasi,5500005555555559,10,2026
